S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
1.752300185,2.386040009,102.7883786,0.5,11.076387,11.076387,0.806171546,8.431616488,170,1.94137896,0.707151532,0.04723,206.2454008,218.6775954,7839
0.911347683,1.604159214,61.42927023,0.5,10.598074,10.598074,0.770477866,6.69115425,568,0.925738942,0.730972886,0.02046,201.391,206.0221165,8487
1.796395748,4.830988586,109.419563,2,10.357338,10.357338,1.17251313,4.435782993,152,0.797389459,0.429418743,0.02051,105.3790191,130.7327735,8703
0.956034406,1.974550414,41.05986469,2.5,9.868642,9.868642,0.715185318,4.398036977,185,0.721882859,0.766278684,0.02471,69.1553254,75.00276845,14812
1.915601763,4.916353949,106.6434487,2,10.472706,10.472706,1.008909774,6.270637592,131,1.089165729,0.559020638,0.03622,109.918685,133.2986493,22887
1.656094305,3.252946727,75.55212977,2.5,9.717974,9.717974,0.756201799,4.394891053,235,0.995950152,0.740278721,0.02123,52.64509361,75.00378682,23337
1.284373965,2.491681309,127.7591035,2,10.374132,10.374132,0.852189177,7.6709038,598,0.534384774,0.6753304,0.02076,78.64989811,119.7789662,30346
1.429988111,5.647457344,130.0931197,1,11.355805,11.355805,0.766217525,11.3645223,124,1.300938837,0.733763516,0.07711,293.1221692,307.2177012,30361
1.268998073,2.576357777,68.15548255,3,9.794161,9.794161,0.972627216,4.724954637,245,0.745896705,0.586882651,0.01982,59.64247392,76.67991651,30890
1.314114143,3.443867591,95.68295591,2,10.490576,10.490576,1.293693109,5.933620279,210,0.96798598,0.334435642,0.02043,85.72798885,109.2103571,31620
0.71546142,1.747397606,82.15701785,2,10.419014,10.419014,0.976755553,7.267054092,580,0.288415076,0.583736837,0.01898,79.10089283,98.14193313,32362
2.406589072,6.651935587,134.9782926,1,10.940301,10.940301,0.991849794,9.878653114,153,1.389278767,0.572180271,0.05512,136.9378633,166.9177886,36880
2.218084017,5.873649583,127.1282721,2,10.708817,10.708817,0.838959973,9.664433185,172,1.45094705,0.684601307,0.05526,119.166275,149.2695544,37064
