,S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
2,1.7963957480000001,4.830988586,109.41956299999998,2.0,10.357338,10.357338,1.17251313,4.435782993,152,0.797389459,0.429418743,0.02051,105.3790191,130.7327735,8703
3,0.9560344059999999,1.974550414,41.05986469,2.5,9.868642,9.868642,0.715185318,4.398036977,185,0.721882859,0.7662786840000001,0.02471,69.15532540000001,75.00276845,14812
4,1.9156017630000002,4.9163539489999994,106.6434487,2.0,10.472706,10.472706,1.0089097740000001,6.270637592000001,131,1.089165729,0.559020638,0.03622,109.91868500000001,133.2986493,22887
5,1.656094305,3.252946727,75.55212977,2.5,9.717974,9.717974,0.7562017990000001,4.394891053,235,0.995950152,0.7402787209999999,0.021230000000000002,52.64509361,75.00378682,23337
6,1.284373965,2.491681309,127.7591035,2.0,10.374132000000001,10.374132000000001,0.8521891770000001,7.6709038,598,0.534384774,0.6753304,0.02076,78.64989811,119.7789662,30346
7,1.429988111,5.647457343999999,130.0931197,1.0,11.355805,11.355805,0.766217525,11.3645223,124,1.3009388370000001,0.7337635159999999,0.07711,293.1221692,307.2177012,30361
9,1.314114143,3.443867591,95.68295591,2.0,10.490575999999999,10.490575999999999,1.2936931090000001,5.933620278999999,210,0.96798598,0.334435642,0.02043,85.72798885,109.2103571,31620
10,0.71546142,1.747397606,82.15701785,2.0,10.419014,10.419014,0.9767555529999999,7.267054092,580,0.288415076,0.583736837,0.01898,79.10089283,98.14193313,32362
11,2.406589072,6.6519355870000005,134.9782926,1.0,10.940301,10.940301,0.9918497940000001,9.878653114,153,1.389278767,0.572180271,0.05512,136.9378633,166.9177886,36880
12,2.218084017,5.873649583,127.12827209999999,2.0,10.708817,10.708817,0.838959973,9.664433185,172,1.45094705,0.684601307,0.055260000000000004,119.166275,149.2695544,37064
14,2.307703872,3.866579125,179.9615342,2.0,10.45646,10.45646,0.425717719,13.58519993,708,0.706364212,0.91448015,0.02069,77.06079915,148.7664063,40278
16,1.604105955,4.206247648,105.32755130000001,2.0,10.884458,10.884458,1.327820459,9.002294376,68,1.6297789230000002,0.309142679,0.05511,142.1858081,160.51090480000002,48432
19,2.351689355,4.099880663,117.22395279999999,2.5,10.290046,10.290046,0.46103852100000003,8.37917777,274,0.876322697,0.899999917,0.042539999999999994,57.83001474,101.06947190000001,54359
23,2.819644051,5.54307826,246.9251409,2.0,11.050885000000001,11.050885000000001,0.6151536679999999,11.98244733,504,2.11635656,0.824800014,0.04318,160.3075811,237.0327681,65406
24,4.645191424,8.472085932,238.8247109,2.0,11.215289,11.215289,0.423116974,17.77681845,209,1.8616424109999998,0.915504098,0.11134000000000001,129.2913576,212.68492290000003,69822
26,2.698538368,4.5148783980000005,146.239077,2.0,9.99832,9.99832,0.35138377600000004,9.84434117,251,1.048146755,0.941417575,0.0546,62.20835833,120.6764835,77446
27,1.0910238490000002,2.289392953,95.09765755,2.0,10.432416,10.432416,1.006156601,10.90412855,193,1.159534651,0.561151087,0.05316,91.9383888,113.90544140000002,77754
29,1.696839828,3.211148837,130.9727929,2.5,10.4498205,10.4498205,0.887348235,12.27326026,449,0.818982765,0.6502343420000001,0.040310000000000006,75.12333575,119.24953590000001,79635
