,cataid,ra,dec,z,r_e,ellip,pa,npix_re,area_cov_re,v_gas_1_comp_re,v_gas_1_comp_err_re,vdisp_gas_1_comp_re,vdisp_gas_err_1_comp_re,oii3727_re,oii3727_err_re,hbeta_re,hbeta_err_re,oiii5007_re,oiii5007_err_re,oi6300_re,oi6300_err_re,halpha_total_re,halpha_total_err_re,halpha_1_comp_re,halpha_1_comp_err_re,nii6583_re,nii6583_err_re,sii6716_re,sii6716_err_re,sii6731_re,sii6731_err_re,extinction_corr_re,extinction_corr_err_re,sfr_re,sfr_err_re,npix_3kpc_round,area_cov_3kpc_round,v_gas_1_comp_3kpc_round,v_gas_1_comp_err_3kpc_round,vdisp_gas_1_comp_3kpc_round,vdisp_gas_err_1_comp_3kpc_round,oii3727_3kpc_round,oii3727_err_3kpc_round,hbeta_3kpc_round,hbeta_err_3kpc_round,oiii5007_3kpc_round,oiii5007_err_3kpc_round,oi6300_3kpc_round,oi6300_err_3kpc_round,halpha_total_3kpc_round,halpha_total_err_3kpc_round,halpha_1_comp_3kpc_round,halpha_1_comp_err_3kpc_round,nii6583_3kpc_round,nii6583_err_3kpc_round,sii6716_3kpc_round,sii6716_err_3kpc_round,sii6731_3kpc_round,sii6731_err_3kpc_round,extinction_corr_3kpc_round,extinction_corr_err_3kpc_round,sfr_3kpc_round,sfr_err_3kpc_round,npix_1_4_arcsecond,area_cov_1_4_arcsecond,v_gas_1_comp_1_4_arcsecond,v_gas_1_comp_err_1_4_arcsecond,vdisp_gas_1_comp_1_4_arcsecond,vdisp_gas_err_1_comp_1_4_arcsecond,oii3727_1_4_arcsecond,oii3727_err_1_4_arcsecond,hbeta_1_4_arcsecond,hbeta_err_1_4_arcsecond,oiii5007_1_4_arcsecond,oiii5007_err_1_4_arcsecond,oi6300_1_4_arcsecond,oi6300_err_1_4_arcsecond,halpha_total_1_4_arcsecond,halpha_total_err_1_4_arcsecond,halpha_1_comp_1_4_arcsecond,halpha_1_comp_err_1_4_arcsecond,nii6583_1_4_arcsecond,nii6583_err_1_4_arcsecond,sii6716_1_4_arcsecond,sii6716_err_1_4_arcsecond,sii6731_1_4_arcsecond,sii6731_err_1_4_arcsecond,extinction_corr_1_4_arcsecond,extinction_corr_err_1_4_arcsecond,sfr_1_4_arcsecond,sfr_err_1_4_arcsecond,npix_2_arcsecond,area_cov_2_arcsecond,v_gas_1_comp_2_arcsecond,v_gas_1_comp_err_2_arcsecond,vdisp_gas_1_comp_2_arcsecond,vdisp_gas_err_1_comp_2_arcsecond,oii3727_2_arcsecond,oii3727_err_2_arcsecond,hbeta_2_arcsecond,hbeta_err_2_arcsecond,oiii5007_2_arcsecond,oiii5007_err_2_arcsecond,oi6300_2_arcsecond,oi6300_err_2_arcsecond,halpha_total_2_arcsecond,halpha_total_err_2_arcsecond,halpha_1_comp_2_arcsecond,halpha_1_comp_err_2_arcsecond,nii6583_2_arcsecond,nii6583_err_2_arcsecond,sii6716_2_arcsecond,sii6716_err_2_arcsecond,sii6731_2_arcsecond,sii6731_err_2_arcsecond,extinction_corr_2_arcsecond,extinction_corr_err_2_arcsecond,sfr_2_arcsecond,sfr_err_2_arcsecond,npix_3_arcsecond,area_cov_3_arcsecond,v_gas_1_comp_3_arcsecond,v_gas_1_comp_err_3_arcsecond,vdisp_gas_1_comp_3_arcsecond,vdisp_gas_err_1_comp_3_arcsecond,oii3727_3_arcsecond,oii3727_err_3_arcsecond,hbeta_3_arcsecond,hbeta_err_3_arcsecond,oiii5007_3_arcsecond,oiii5007_err_3_arcsecond,oi6300_3_arcsecond,oi6300_err_3_arcsecond,halpha_total_3_arcsecond,halpha_total_err_3_arcsecond,halpha_1_comp_3_arcsecond,halpha_1_comp_err_3_arcsecond,nii6583_3_arcsecond,nii6583_err_3_arcsecond,sii6716_3_arcsecond,sii6716_err_3_arcsecond,sii6731_3_arcsecond,sii6731_err_3_arcsecond,extinction_corr_3_arcsecond,extinction_corr_err_3_arcsecond,sfr_3_arcsecond,sfr_err_3_arcsecond,npix_4_arcsecond,area_cov_4_arcsecond,v_gas_1_comp_4_arcsecond,v_gas_1_comp_err_4_arcsecond,vdisp_gas_1_comp_4_arcsecond,vdisp_gas_err_1_comp_4_arcsecond,oii3727_4_arcsecond,oii3727_err_4_arcsecond,hbeta_4_arcsecond,hbeta_err_4_arcsecond,oiii5007_4_arcsecond,oiii5007_err_4_arcsecond,oi6300_4_arcsecond,oi6300_err_4_arcsecond,halpha_total_4_arcsecond,halpha_total_err_4_arcsecond,halpha_1_comp_4_arcsecond,halpha_1_comp_err_4_arcsecond,nii6583_4_arcsecond,nii6583_err_4_arcsecond,sii6716_4_arcsecond,sii6716_err_4_arcsecond,sii6731_4_arcsecond,sii6731_err_4_arcsecond,extinction_corr_4_arcsecond,extinction_corr_err_4_arcsecond,sfr_4_arcsecond,sfr_err_4_arcsecond
0,100162,185.79312,0.93489313,0.02577,2.75,0.4972,137.33,44,2.1547983,-8.376663,0.19645543,46.820152,0.21404079,22.84079,0.9103757,9.45274,0.13153544,11.722744,0.14092809,1.5732228,0.07553009,37.194763,0.1215818,37.194763,0.121581815,7.5726366,0.08145237,9.120529,0.10375179,6.2836566,0.08909628,2.1232302,0.071623914,0.061817575,0.0020950886,96,2.0001028,-8.2191925,0.18817462,44.692955,0.21017262,36.880665,1.3811932,13.959578,0.26993152,18.40772,0.20274052,2.5776868,0.11202488,54.344826,0.21908024,54.344826,0.21908021,11.333387,0.11860454,14.1727295,0.15058295,9.854171,0.12912911,2.0703845,0.09651238,0.0880729,0.0041209017,4,3.0787609,0.13848494,0.27594048,31.15999,0.360717,2.287377,0.12227915,0.79942,0.050313443,1.0315261,0.022215402,0.14465147,0.011328309,3.2090564,0.024708383,3.2090564,0.024708383,0.7585154,0.012557204,0.8681583,0.016119137,0.61882406,0.013822364,2.2257566,0.33306155,0.0055909823,0.0008377397,12,2.0943952,0.11782388,0.24530074,32.32255,0.3143353,6.7156086,0.38723654,2.318016,0.15471192,2.9490032,0.057000242,0.4327552,0.029680705,9.49362,0.1153627,9.49362,0.1153627,2.204091,0.032549445,2.5696805,0.04183416,1.8082027,0.035672393,2.3336759,0.3736294,0.01734225,0.0027845388,32,1.7671459,-2.322973,0.21854775,36.81882,0.26339334,15.932948,0.7277179,5.834562,0.14543569,7.3057966,0.11234186,1.1466465,0.060945023,23.452772,0.12201223,23.452772,0.12201224,5.223433,0.0663959,6.2158785,0.08470476,4.3775253,0.0722618,2.2328262,0.1341802,0.040990405,0.0024725045,52,1.9332877,-4.747576,0.19748043,40.33782,0.22893798,23.685558,0.9423019,8.950159,0.15131332,11.443834,0.14995061,1.6829368,0.08101761,35.316044,0.1294199,35.316044,0.1294199,7.678269,0.086285,9.285613,0.11024877,6.5342693,0.09372221,2.1373203,0.08725661,0.05908466,0.0024218438
1,100175,185.8184,0.8431353,0.02642,6.78,0.8984,14.42,50,1.9591248,-10.338905,0.2929854,23.152119,0.46444693,7.558621,0.6416099,2.7945657,0.0879597,5.067371,0.090636805,0.27112797,0.049288098,10.177972,0.068314485,10.177972,0.068314485,0.71675444,0.041015748,1.6027012,0.04888533,1.3810674,0.044408195,1.7691106,0.13436714,0.014828839,0.0011306664,88,2.086757,-9.951371,0.33291537,18.290155,0.6344979,7.914933,0.96699226,3.3118834,0.12718931,5.8820214,0.1288655,0.27523062,0.073650815,11.842584,0.09661102,11.842584,0.096611015,0.8549481,0.059960227,1.9991192,0.07168965,1.6925871,0.06520886,1.6940752,0.1569655,0.016522285,0.0015368038,4,3.0787609,-8.834557,0.5118176,16.52238,1.0424395,0.5400869,0.10390316,0.2124173,0.030932674,0.41156864,0.01728239,0.019108195,0.008002914,0.8765269,0.024395166,0.8765269,0.024395166,0.06542486,0.006589311,0.15781344,0.008365169,0.12884253,0.0073650265,2.3753846,0.8311204,0.0017147077,0.000601852,12,2.0943952,-9.203664,0.4804465,16.011976,1.0069352,1.6174066,0.2674778,0.6574077,0.03459269,1.1909783,0.03743815,0.06713066,0.021126598,2.4300134,0.028604573,2.4300134,0.02860457,0.17299101,0.017347673,0.4197163,0.021965675,0.3590007,0.019542482,1.8319875,0.23312445,0.0036662503,0.00046853026,32,1.7671459,-8.943446,0.4015815,15.967441,0.8426048,3.6257129,0.52786535,1.5106514,0.070667244,2.7206054,0.07362206,0.13737357,0.03984396,5.410632,0.054890916,5.410632,0.054890916,0.3818192,0.032228276,0.8949857,0.03961803,0.79836035,0.035817154,1.7006457,0.19211432,0.0075779683,0.00085949426,52,1.9332877,-9.404691,0.37492773,16.921955,0.75469327,5.334504,0.7302666,2.3001099,0.09977106,4.0528812,0.1021893,0.19940226,0.0556265,7.9965715,0.07540089,7.9965715,0.07540089,0.5761738,0.044669848,1.3165927,0.05426945,1.192177,0.04939328,1.5852677,0.16607203,0.010439924,0.0010981037
2,100192,185.92766,0.96219254,0.02409,5.66,0.08,127.35,318,1.9967427,-12.508875,0.07942582,30.360865,0.103445694,114.97077,2.804637,50.593327,0.36837792,46.38892,0.35518208,6.3424335,0.17457624,189.99835,0.3245582,189.99835,0.32455823,38.49455,0.20275192,42.632786,0.23685429,30.07443,0.21283197,1.901804,0.033567015,0.24654911,0.0043719476,112,1.9292086,-10.047976,0.14000584,30.255663,0.18507996,37.553577,1.5611329,15.757894,0.20728667,12.820372,0.1980761,2.3939295,0.10315629,58.109436,0.176888,58.109436,0.17688802,13.396618,0.1190032,15.139096,0.13779686,10.410059,0.124668665,1.8218081,0.058051758,0.07223325,0.002312185,4,3.0787609,-5.295932,0.41911036,26.052008,0.6089188,1.0292636,0.12447891,0.4381536,0.030467337,0.33851165,0.020270132,0.090839624,0.010510525,1.7694411,0.018729292,1.7694411,0.018729292,0.38351962,0.0128606055,0.5337085,0.013780737,0.3564409,0.012583204,2.2575178,0.3747361,0.0027255563,0.00045334693,12,2.0943952,-6.095012,0.3522891,27.062252,0.49969828,3.6077313,0.39883682,1.4614755,0.05345113,1.1024379,0.051114067,0.2904034,0.025255078,5.146691,0.04123254,5.146691,0.04123254,1.2100065,0.03161989,1.5756917,0.033836566,1.0679142,0.031193541,1.6340841,0.1443873,0.005738394,0.0005091231,32,1.7671459,-5.7811875,0.2557813,27.896091,0.35540545,10.107207,0.73709965,4.0946584,0.10464771,3.1278024,0.09627108,0.75313693,0.05053483,14.2871685,0.08372983,14.2871685,0.08372984,3.6129894,0.0602146,4.211926,0.06640264,2.856212,0.061189085,1.5988784,0.098939024,0.015586531,0.00096881454,52,1.9332877,-6.9432325,0.20083874,28.442427,0.27558273,16.691776,0.9777532,6.777225,0.13861167,5.3170977,0.13039158,1.148059,0.06702936,24.450481,0.109105885,24.450481,0.10910587,6.095264,0.07788579,6.9231243,0.08753386,4.703096,0.08023005,1.7300234,0.085469276,0.028862055,0.0014316923
3,105420,211.73586,1.0121216,0.04811,2.85,0.1384,85.64,96,1.9476302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32,1.9188184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,3.0787609,-202.60681,13.957151,92.71179,13.801142,nan,nan,0.022833107,0.03546615,0.03442936,0.025445063,0.22175989,0.026312307,0.010664999,0.027250698,0.010664999,0.027250698,0.028562354,0.02271451,nan,nan,nan,nan,nan,nan,0.0,0.0,12,2.0943952,-44.741802,55.84191,282.67294,53.0937,nan,nan,0.0448826,0.09790592,0.34515685,0.104552865,0.5714582,0.104078256,0.14574076,0.1030094,0.14574076,0.1030094,0.05589688,0.09930969,nan,nan,nan,nan,nan,nan,0.0,0.0,32,1.7671459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52,1.9332877,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,105447,211.77309,0.856394,0.04867,2.89,0.7526,134.55,24,2.1589663,-13.501164,2.7301943,103.36876,2.6655765,1.8541938,0.48236287,0.4103456,0.09601538,0.75983125,0.07517852,0.39969483,0.053795353,2.0889096,0.072068736,2.0889096,0.072068736,1.9090269,0.061935093,1.1262171,0.05223007,0.83371276,0.05054429,3.8989985,2.1763384,0.023517769,0.013152172,32,1.8781874,-13.061139,2.608652,96.76185,2.5726743,2.551021,0.6020097,0.4717461,0.14192215,1.0239863,0.09944275,0.53462976,0.07488002,2.7313647,0.107738435,2.7313647,0.107738435,2.7407382,0.08789882,1.5814804,0.07311516,1.2012061,0.070877254,5.2830005,3.7829943,0.0,0.029881107,4,3.0787609,-4.0730205,2.8129997,87.53717,2.8302755,0.3754085,0.10809741,0.059141714,0.108260766,0.19833654,0.02079446,0.07158435,0.01408094,0.4533736,0.06765521,0.4533736,0.06765521,0.47057077,0.01728502,0.24115413,0.014159211,0.18761237,0.013574316,10.245738,30.737213,0.0,0.040288467,12,2.0943952,-8.6162195,2.9190075,96.55577,2.8862047,1.0959961,0.31350523,0.1941824,0.06892792,0.53471327,0.052243788,0.24253376,0.038835354,1.2338142,0.053749137,1.2338142,0.053749137,1.3170271,0.046487074,0.7297753,0.03853825,0.60118014,0.03757345,6.5788555,19.736567,0.0,0.070321895,32,1.7671459,-13.061139,2.608652,96.76185,2.5726743,2.551021,0.6020097,0.4717461,0.12374183,1.0239863,0.09944275,0.53462976,0.07488002,2.7313647,0.09857094,2.7313647,0.09857094,2.7407382,0.08789882,1.5814804,0.07311516,1.2012061,0.070877254,5.2830005,3.301207,0.0,0.026079481,52,1.9332877,-14.820122,2.567155,96.36742,2.5341125,3.4751658,0.79257756,0.7120391,0.16720635,1.3355199,0.12732345,0.6787331,0.096781425,3.6564357,0.1320856,3.6564357,0.1320856,3.528324,0.11290108,2.0165522,0.09418767,1.5626199,0.0913584,3.980007,2.2316368,0.042020883,0.02361045
5,105519,212.34018,1.0277413,0.0577,1.44,0.508,130.3,12,2.1304226,44.421276,13.794406,189.43665,11.045472,1.0076431,0.49633318,nan,nan,0.79033124,0.07683543,nan,nan,0.57611716,0.07017733,0.57611716,0.07017733,0.73191124,0.0652265,0.5539114,0.06015513,0.51558614,0.060388505,nan,nan,nan,nan,24,1.8309114,20.490187,14.348352,200.63503,10.913535,1.9101205,0.7972497,nan,nan,1.1026621,0.13350148,nan,nan,1.1439083,0.12649763,1.1439083,0.12649763,1.3713338,0.11060637,1.0888103,0.10241557,0.8648076,0.1014615,nan,nan,nan,nan,4,3.0787609,21.481916,16.735954,189.51724,13.288205,0.37893927,0.16967514,nan,nan,0.2776135,0.035304334,0.015738776,0.023536379,0.16187857,0.37906912,0.16187857,0.37906912,0.2489146,0.02555574,0.18560463,0.023259077,0.16520703,0.023227075,nan,nan,0.0,0.0,12,2.0943952,41.91291,15.377992,197.81381,11.946853,1.2114908,0.52537227,nan,nan,0.79198486,0.08598623,nan,nan,0.5942373,0.07301617,0.5942373,0.07301616,0.7595133,0.070111625,0.61468464,0.06538184,0.5119119,0.06506298,nan,nan,nan,nan,32,1.7671459,11.718729,13.138643,201.28836,10.015984,2.2816513,0.9527081,nan,nan,1.4568852,0.15780184,nan,nan,1.4328945,0.13124055,1.4328945,0.13124055,1.6904758,0.1267021,1.3727986,0.116929136,1.1000525,0.11593865,nan,nan,nan,nan,52,1.9332877,3.5682206,12.435098,198.28679,9.471379,3.4003963,1.2401078,0.096399784,0.3660318,1.7947581,0.1993648,0.016079355,0.14605282,1.7278619,0.42677552,1.7278619,0.42677552,2.2413619,0.15978709,1.8556191,0.1470635,1.5300641,0.14592105,76.04626,228.13876,0.0,1.6261139
6,105573,212.54694,0.8658375,0.02556,2.03,0.3875,103.29,34,1.9013708,3.7575207,0.17755105,28.836346,0.23926061,24.859756,0.86714447,7.7453785,0.103586525,18.693817,0.13473956,0.8022672,0.048173167,24.007504,0.09370513,24.007504,0.09370514,2.338913,0.04839732,4.190079,0.0734746,2.8896902,0.057735503,1.2090784,0.039753642,0.022345567,0.00073986524,96,2.0795174,2.821072,0.13028604,29.183302,0.17582865,53.74368,1.4485,17.017426,0.17070185,41.737324,0.21630205,1.7074857,0.0794804,53.595295,0.15103137,53.595295,0.15103137,5.041854,0.078876406,9.0694275,0.11957924,6.3407373,0.09327775,1.255468,0.030871436,0.051799104,0.0012820553,4,3.0787609,5.147954,0.24011613,25.086895,0.35598245,3.2568529,0.15780975,1.050278,0.019311372,2.651489,0.024159206,0.107172854,0.009641153,3.161182,0.017683761,3.161182,0.017683761,0.3130571,0.0093052285,0.56708914,0.014428804,0.3873698,0.010981098,1.1280879,0.05116663,0.0027452528,0.00012545976,12,2.0943952,3.8083355,0.23410529,25.878538,0.3396288,9.575394,0.42002204,2.9593327,0.049736615,7.182392,0.06373981,0.2986181,0.025584642,9.127915,0.048993442,9.127915,0.048993442,0.9168991,0.025524396,1.6573279,0.039941203,1.1244779,0.030664034,1.1951867,0.04976448,0.008398415,0.0003525817,32,1.7671459,3.955755,0.17677416,26.66947,0.24900125,23.271826,0.83968496,7.3174295,0.10119971,17.820425,0.13177998,0.7581656,0.0467288,22.916449,0.09169382,22.916449,0.09169382,2.2484999,0.047292847,4.0097656,0.07212699,2.7511573,0.05637406,1.238904,0.042094525,0.021856211,0.00074774504,52,1.9332877,3.364402,0.14792606,27.612741,0.20488138,34.841064,1.1168368,11.109859,0.13118504,27.248238,0.16758196,1.1627413,0.059378624,35.032024,0.11482586,35.032024,0.11482586,3.3491051,0.059478477,6.0208364,0.090617314,4.1643248,0.07077409,1.2590469,0.03641233,0.03395448,0.0009882689
7,105600,212.68784,1.0463532,0.02546,3.03,0.2009,168.43,92,1.9263227,-0.7443565,0.17468914,21.99505,0.28196177,20.658503,1.0806445,7.8587236,0.14298548,6.044021,0.14337175,1.0349859,0.07292967,27.951365,0.11656087,27.951365,0.11656087,6.9596353,0.07940471,8.071086,0.104167536,5.3510046,0.09106589,1.6728481,0.073692955,0.035709165,0.0015801064,101,1.9911889,-1.336268,0.17272414,21.790163,0.2807089,21.918652,1.124903,8.197429,0.15644991,6.3948064,0.14942275,1.1045977,0.07660878,29.54066,0.12780789,29.54066,0.12780789,7.3650627,0.08321891,8.516334,0.108735435,5.6431956,0.095187,1.7253953,0.07968567,0.038925033,0.0018055851,7,1.7592919,-0.30768225,0.28659743,21.713823,0.46292263,2.3170419,0.18357849,0.9328,0.042724386,0.74985003,0.02704493,0.13029273,0.013454695,3.2592223,0.03291089,3.2592223,0.03291089,0.85825175,0.0155424895,0.9335508,0.020795887,0.65212613,0.018091645,1.6040734,0.17755356,0.0039926236,0.00044377538,13,1.9332877,1.8231988,0.2627267,21.253319,0.42912,4.4078803,0.33760005,1.7558444,0.049122542,1.3977842,0.048484523,0.23846936,0.023211034,6.132415,0.039252568,6.132415,0.039252568,1.5634687,0.026327338,1.7091483,0.035010684,1.1868601,0.030036908,1.6025054,0.10853895,0.007505009,0.00051058497,29,1.949954,0.8247671,0.21556227,21.612215,0.3487017,8.949902,0.5552507,3.6424274,0.092847176,2.8111143,0.08031275,0.4701013,0.03955009,12.802694,0.07578137,12.802694,0.07578137,3.1892505,0.044745166,3.568831,0.05946784,2.4449553,0.051019162,1.6267654,0.10046597,0.015905468,0.0009867932,49,2.0516524,0.1999097,0.19089928,21.886799,0.3074903,13.698912,0.7593055,5.5071797,0.10873285,4.248604,0.10478694,0.6876026,0.05317585,19.221924,0.09142795,19.221924,0.09142795,4.759091,0.059366044,5.4150987,0.07885327,3.6446078,0.0678183,1.6000876,0.076689795,0.023488797,0.0011313129
8,105962,214.14784,0.88663554,0.02555,6.02,0.3627,143.07,320,1.9909496,-11.559583,0.21672542,35.777596,0.27246135,41.427795,1.9038374,13.428496,0.23091242,17.946089,0.2418006,1.890643,0.13247971,45.515285,0.18537712,45.515285,0.18537712,7.0866823,0.12791558,12.308229,0.15876625,8.463811,0.14498682,1.4930786,0.062268294,0.05227373,0.002190428,96,2.0856614,-15.009421,0.26025647,28.433292,0.36688352,14.90353,0.94610965,4.7130566,0.119719096,6.200992,0.114845276,0.69909924,0.062167827,16.404219,0.0959192,16.404219,0.09591921,2.8416204,0.06205594,4.7622313,0.078507274,3.2669532,0.07087848,1.5895604,0.09778258,0.02005747,0.0012394064,4,3.0787609,-13.397301,0.7373507,25.608934,1.104468,0.6165288,0.08550261,0.18765785,0.02652334,0.20695147,0.013278665,0.03607255,0.008456123,0.70656097,0.020290496,0.70656097,0.020290496,0.13216466,0.007993617,0.22341385,0.009935012,0.15167406,0.008953644,1.9134799,0.6513008,0.0010399611,0.00035523443,12,2.0943952,-14.304711,0.4824861,25.259483,0.72914547,2.0367858,0.24092774,0.5982616,0.027065651,0.68625677,0.02667997,0.10328145,0.015784463,2.0947275,0.022779923,2.0947275,0.022779923,0.39501,0.01569129,0.6642202,0.01985155,0.4535919,0.017987352,1.6120337,0.17701562,0.0025974382,0.00028661708,32,1.7671459,-14.658183,0.38974705,25.706753,0.5834606,5.286584,0.4797719,1.6341106,0.06972137,1.887579,0.060539436,0.2739039,0.033041846,5.581258,0.050221298,5.581258,0.050221298,1.0372026,0.033180803,1.7071835,0.042679172,1.1906049,0.037910037,1.5202664,0.15644647,0.0065267254,0.00067421026,52,1.9332877,-14.659859,0.34190026,26.677456,0.49938986,8.465124,0.6667427,2.609575,0.08585788,3.229916,0.0858,0.4304946,0.045984045,9.068292,0.07027832,9.068292,0.070278324,1.6448125,0.046089835,2.6976514,0.05902234,1.8928883,0.05284414,1.5835494,0.12632227,0.011045888,0.00088529673
9,106016,214.41821,0.92016226,0.05351,1.94,0.6262,149.38,18,2.1433914,-8.873087,4.187172,133.27536,3.8122282,4.333103,0.512822,0.7171095,0.121208824,2.109967,0.12719817,0.5204095,0.07901087,2.9958959,0.11112903,2.9958959,0.11112903,1.8432999,0.10144344,1.6481787,0.082964435,1.3184748,0.08324114,2.445668,0.99878603,0.0,0.01056032,24,2.1054034,-9.533124,4.105169,128.9231,3.7785723,5.8424025,0.639606,0.95437336,0.15733284,2.7147176,0.16436805,0.63858396,0.103621855,3.7870774,0.14309603,3.7870774,0.14309603,2.4749117,0.13181213,2.0921962,0.10759881,1.661435,0.107974805,2.1659024,0.8645102,0.0,0.011558604,4,3.0787609,-7.232487,4.1136827,127.56148,3.8189821,1.3487196,0.18785593,0.25431955,0.061579674,0.6690747,0.041702956,0.16698411,0.025419017,0.95865047,0.06933252,0.95865047,0.06933252,0.6094862,0.034116056,0.5544943,0.0275807,0.41882068,0.0273558,1.9186611,1.14426,0.0,0.0038837295,12,2.0943952,-7.001307,4.1690125,126.12579,3.873102,3.4008088,0.40750587,0.616958,0.09905464,1.7221898,0.10701795,0.4332335,0.069393165,2.5255895,0.096961945,2.5255895,0.096961945,1.5974861,0.091511354,1.4112453,0.07407282,1.119091,0.07406077,2.3310366,0.90814376,0.0,0.00810046,32,1.7671459,-9.490685,4.1318474,132.18867,3.7674437,7.020138,0.7752807,1.0570751,0.17579412,3.174705,0.1885894,0.74366635,0.12148523,4.4358788,0.16111441,4.4358788,0.16111441,2.9553814,0.15269922,2.4777734,0.12506878,1.9797765,0.12560284,2.471487,0.99285805,0.0,0.015542771,52,1.9332877,-12.063825,4.121009,136.0717,3.732434,8.860079,1.0036607,1.354767,0.22256301,3.930565,0.2309547,0.9836334,0.1523674,5.7676764,0.20819624,5.7676764,0.20819624,3.7724593,0.18850234,3.1878974,0.15777265,2.5141816,0.15828791,2.5570416,1.0150251,0.0,0.020661399
