,cataid,ra,dec,z_spec,z_tonry,m_r,mu_within_1re,mu_1re,mu_2re,r_petro,r_auto,r_e,ellip,pa,g_i,a_g,mstar,morph,morph_flag
0,100162,185.79312,0.93489316,0.02577,0.02701,-18.67,20.24,20.84,22.75,16.666,16.692,2.75,0.4972,137.33,0.59,0.096,9.15,3,1
1,100175,185.8183977,0.84313527,0.02642,0.02764,-16.67,22.05,23.05,24.71,18.733,18.71,6.78,0.8984,14.42,0.43,0.096,8.23,3,1
2,100192,185.9276552,0.96219254,0.02409,0.02541,-19.17,21.83,22.66,24.4,16.089,16.059,5.66,0.08,127.35,0.55,0.109,9.33,3,1
3,105420,211.7358495,1.0121215,0.04811,0.04903,-20.63,20.19,21.62,23.19,16.115,16.105,2.85,0.1384,85.64,1.17,0.156,10.38,2,1
4,105447,211.7730801,0.85639398,0.04867,0.04959,-19.58,20.06,20.9,22.63,17.166,17.19,2.89,0.7526,134.55,1.35,0.149,10.11,1.5,1
5,105519,212.3401793,1.02774133,0.0577,0.05862,-20.7,18.47,19.87,21.44,16.458,16.45,1.44,0.508,130.3,1.12,0.139,10.34,1,1
6,105573,212.5469422,0.86583754,0.02556,0.02647,-17.5,20.91,21.58,23.43,17.803,17.796,2.03,0.3875,103.29,0.41,0.13,8.54,3,1
7,105600,212.6878354,1.04635322,0.02546,0.02637,-18.25,21.27,22.15,23.86,17.068,17.062,3.03,0.2009,168.43,0.77,0.127,9.14,3,1
8,105962,214.1478385,0.88663553,0.02555,0.02643,-18.47,22.38,23.08,24.9,16.87,16.83,6.02,0.3627,143.07,0.46,0.144,8.96,3,1
9,106016,214.4182135,0.92016229,0.05351,0.05439,-20.25,19.1,20.51,22.09,16.723,16.731,1.94,0.6262,149.38,1.2,0.147,10.23,1,1
10,106042,214.5621382,0.89109004,0.02597,0.02683,-21.23,21.37,22.42,24.07,14.087,14.12,13.74,0.2003,21.58,0.54,0.147,10.14,3,1
11,106047,214.5697014,0.98625433,0.05336,0.05424,-20.33,19.55,20.64,22.28,16.635,16.649,2.03,0.4688,120.28,1.04,0.151,10.14,1.5,1
12,106049,214.5901259,0.94959438,0.02614,0.027,-17.72,21.55,22.25,24.07,17.6,17.653,3.43,0.5555,120.46,0.57,0.147,8.76,3,1
13,106065,214.5134248,0.97595195,0.02545,0.02632,-17.1,21.88,22.48,24.4,18.244,18.179,3.91,0.7071,42.07,0.36,0.155,8.34,3,1
14,106331,215.5132047,0.86205313,0.03599,0.03684,-19.99,21.83,22.65,24.39,16.135,16.057,7.04,0.4376,60.68,0.51,0.116,9.61,3,1
