,cataid,pa_stelkin,e_pa_stelkin,sigma_re,e_sigma_re,sigma_3kpc_round,e_sigma_3kpc_round,sigma_1_4_arcsecond,e_sigma_1_4_arcsecond,sigma_2_arcsecond,e_sigma_2_arcsecond,sigma_3_arcsecond,e_sigma_3_arcsecond,sigma_4_arcsecond,e_sigma_4_arcsecond,aper_corr_flag,rmax_aper_corr,lambdar_re,e_lambdar_re,lambdar_max,e_lambdar_max,vsigma_re,e_vsigma_re,vsigma_max,e_vsigma_max,mean_k51_re,e_mean_k51_re
0,7715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,7839,49.5,1.3333334,201.15765,1.8886987,224.7507,1.6057225,234.09523,2.2304487,229.4783,1.8984971,224.7507,1.7390497,223.1101,1.7506942,0,nan,0.30925605,0.004848373,nan,nan,0.31473133,0.004307231,nan,nan,0.041178357,0.005640168
2,7841,152,0.25,175.94203,1.3499509,163.35858,1.3690617,163.95845,1.9296739,163.35858,1.4418261,163.48994,1.312117,165.17061,1.1572617,0,nan,0.51199377,0.005814506,nan,nan,0.648815,0.008685573,nan,nan,0.011217131,0.002566117
3,7946,241,0.9166667,177.3439,1.6890142,178.04184,2.6457658,178.04184,2.6989176,178.6392,2.2120285,177.91217,1.9519231,176.83015,2.0194132,0,nan,0.4192715,0.008561414,nan,nan,0.47219923,0.010453054,nan,nan,0.028756902,0.007973345
4,7969,119.5,12.333333,237.79965,2.2462022,255.0543,2.4824119,256.94537,2.8824058,255.0543,2.5453212,251.91228,2.0540493,251.61804,2.2019124,0,nan,0.081035934,0.007416519,nan,nan,0.08588602,0.006725187,nan,nan,0.21516052,0.1474642
5,7992,26,3.9166667,223.88864,2.1854508,233.3376,2.5659945,240.54195,2.9073822,233.3376,2.5989914,230.33713,2.1603448,226.02994,1.8240858,0,nan,0.12203392,0.006923922,nan,nan,0.12870505,0.006607844,nan,nan,0.050378334,0.021861717
6,8353,329,7.5833316,66.320496,3.7979329,68.90694,3.4703898,53.051563,8.226766,55.91707,4.984583,55.57838,4.3569493,59.601635,3.253039,0,nan,0.292545,0.021193715,nan,nan,0.34155732,0.023485357,nan,nan,0.2204371,0.85560143
7,8391,11.5,29.916666,50.2887,2.5728667,50.746513,4.202772,52.290104,3.9238532,51.64127,3.1642046,50.29962,2.7309518,50.073616,3.0985548,0,nan,0.08319951,0.046295058,nan,nan,0.11197622,0.050519098,nan,nan,0.6794093,429.18628
8,8404,115,29.166664,43.933468,6.5461054,44.05481,5.968313,nan,nan,41.572487,6.5451403,42.405537,6.2917604,39.386486,6.828194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,8485,16.5,13.999997,57.349964,3.932954,54.988297,4.921347,56.350048,6.393129,49.90269,5.8631577,52.459908,4.5429916,53.761765,3.9461591,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,8487,91.5,1.8333334,nan,nan,201.42216,1.6963038,215.95363,1.8285844,214.29788,1.8471811,210.9233,1.866169,208.6653,1.668339,1,0.5146384,0.21706825,0.004695932,0.1365437,0.004695932,0.23823622,0.003670372,0.15572889,0.003670372,nan,nan
11,8488,106,29.83333,77.459045,1.2270337,76.08892,1.3628244,78.985634,1.2504139,77.459045,1.249562,77.227104,1.0789194,76.552734,1.172347,2,2,0.03841913,0.009759671,0.06320344,0.009759671,0.04260156,0.009252898,0.06638725,0.009252898,nan,nan
12,8490,309.5,29.916666,35.437904,8.957387,48.711876,7.0016446,nan,nan,53.717236,9.537579,40.163067,7.469528,41.258198,7.3282337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,8562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,8570,217.5,29.83333,54.379272,8.590883,56.37472,7.1807613,nan,nan,nan,nan,47.948105,8.408767,55.290653,8.620519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,8703,314,0.6666667,nan,nan,121.505005,1.0005211,118.40412,1.7959998,119.75526,1.5644318,118.43487,1.0843184,118.37516,1.0626277,1,0.8674914,0.6298199,0.00333599,0.590646,0.00333599,0.86278915,0.005953284,0.78776085,0.005953284,nan,nan
16,8706,252,1.6666666,nan,nan,86.44023,1.3922132,84.78349,2.8839803,86.42666,1.9978447,88.71236,1.5829502,88.90822,1.4322287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,8865,206,29.916666,206.04474,2.7950137,207.75,3.1213608,213.62158,4.4978633,211.25734,3.0057094,210.26341,2.677801,209.87584,2.646412,0,nan,0.04873641,0.010102087,nan,nan,0.05597994,0.009501248,nan,nan,0.51986766,10.640031
18,8913,112,29.916666,44.633003,7.1225243,46.136375,6.913751,nan,nan,45.820892,8.126297,39.18333,7.1032753,41.211723,6.8175807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,9032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,9062,346,1.0833334,134.92406,1.0134705,130.64684,1.0545304,143.68098,2.4141178,133.69572,1.727953,133.49936,1.1671723,131.78383,1.0181379,0,nan,0.20182726,0.005649775,nan,nan,0.23745166,0.005841874,nan,nan,0.05925013,0.011469736
21,9067,158.5,13.833332,80.077225,9.303277,76.989075,8.9710245,nan,nan,91.52525,11.288032,86.987015,8.871003,80.53381,8.865484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,9112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,9115,316.5,14.5,51.333096,6.564028,52.811764,5.8322268,57.38079,9.2136965,46.364166,7.2504954,46.469254,6.6041965,50.138706,5.681438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,9163,265,4.25,nan,nan,44.30416,3.8498256,nan,nan,nan,nan,35.42943,5.3606043,42.508026,3.7894335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,9352,79,13.416667,59.06888,3.5313973,67.43964,3.4591208,55.54325,4.5699563,55.996956,4.116151,59.686687,3.5914543,61.754135,3.180568,0,nan,0.15064369,0.03718477,nan,nan,0.17421038,0.033518665,nan,nan,0.24570423,4.5111723
26,14552,178.5,1.416666,175.5265,1.6763608,174.05652,2.1239138,172.87428,2.4128373,174.05652,1.9888371,175.5243,1.5974796,173.41785,1.6384187,0,nan,0.32382888,0.007019957,nan,nan,0.3620552,0.007640885,nan,nan,0.033467203,0.006912966
27,14555,289.5,13.333333,48.464508,3.5860999,48.934765,3.3112953,nan,nan,nan,nan,42.12384,3.9412422,47.280186,3.4883935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,14812,286,1.9166666,70.3283,1.2129027,67.37987,1.092965,64.08574,2.0014524,63.22015,1.3591543,64.48706,1.2208136,66.09506,1.1590331,0,nan,0.24859492,0.008861727,nan,nan,0.29702446,0.009005191,nan,nan,0.061083514,0.013913143
29,15165,152,1.1666666,178.81508,2.8529727,197.73148,2.3361049,201.30052,2.767149,197.73148,2.1454432,191.96109,1.8367884,189.92036,1.9641894,1,0.92871463,0.47361338,0.007844123,0.4542305,0.007844123,0.50416714,0.008018033,0.48086062,0.008018033,nan,nan
30,15218,156.5,10.75,nan,nan,46.747574,5.2667394,nan,nan,nan,nan,35.635433,6.643065,40.62164,6.3555326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,15220,313.5,8.666667,51.198906,2.7790887,55.35499,3.3048766,53.41212,4.735332,49.243656,3.39407,47.44118,2.9971282,49.62836,3.1347377,0,nan,0.2643066,0.041119676,nan,nan,0.33593538,0.04176404,nan,nan,0.08532733,0.023830032
32,15481,203,10.749999,224.3249,2.764262,239.81546,2.4675245,246.92776,3.3197787,239.99828,2.6720362,241.59045,2.3151004,242.78424,2.2857285,0,nan,0.07533659,0.005618255,nan,nan,0.08219466,0.005366518,nan,nan,nan,nan
33,16026,163,2,123.631165,2.8808904,118.602905,2.7512877,111.86148,4.7499576,116.733116,2.8902361,119.80943,2.7404118,123.84233,2.9024413,0,nan,0.3474566,0.019623727,nan,nan,0.42214945,0.024282297,nan,nan,0.054265004,0.017949706
34,16294,170,29.83333,80.9611,7.6298666,57.41613,6.0205145,nan,nan,60.030525,9.813766,57.318066,6.8833632,59.119793,6.6080513,1,0.3884861,0.5099403,0.103697844,0.28743535,0.103697844,0.670333,0.11394509,0.36600828,0.11394509,nan,nan
35,16487,86.5,7.6666665,76.84576,4.0924354,67.68135,4.8503337,53.925797,8.902256,66.71279,5.1006346,69.062645,5.6020155,66.608116,4.2313385,1,0.9492718,0.5396235,0.04066123,0.5253246,0.04066123,0.7822303,0.07138272,0.756597,0.07138272,nan,nan
36,16525,285,4,133.6271,1.9466656,133.14577,1.5221499,130.85863,2.382435,133.6271,1.8972037,132.54193,1.4944828,129.43091,1.5218462,2,2,0.0778192,0.010454883,0.12752257,0.010454883,0.086798385,0.010525637,0.13526045,0.010525637,nan,nan
37,16863,240,14,nan,nan,45.15611,3.3027313,36.6992,8.747314,nan,nan,35.256573,4.4989033,41.6743,3.8942525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,16920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,16926,210,1,121.53493,1.5371757,115.078766,1.4492973,115.12497,1.9980114,114.84635,1.7028201,115.078766,1.3462604,117.06651,1.4958267,0,nan,0.39287615,0.010126889,nan,nan,0.47910553,0.012622412,nan,nan,0.022911489,0.006685393
40,16948,28.5,14.5,nan,nan,nan,nan,48.145535,8.535659,40.11995,5.866359,37.7541,5.3033667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41,21979,281,29.916666,nan,nan,88.116905,10.27281,nan,nan,nan,nan,88.08421,10.087906,82.43406,10.346045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
