,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
17185,4371211,27463.623,True,84913532,2.6530173,3573.1897,23735.059,0.0,0.0,154.8157,0.5583479
31342,4371211,23211.328,True,74949167,2.4725168,3312.5986,19705.928,0.0,0.0,191.96112,0.8390293
41582,4371211,13758.299,True,44685055,99.81936,2035.624,11625.857,0.0,0.0,96.50457,0.31319907
52618,4371211,15493.247,True,50542211,6.059371,2347.1946,13064.353,0.0,0.0,81.445526,0.2538997
60731,4371211,14359.949,True,45741271,1.7635024,2021.6665,12247.116,0.0,0.0,90.83128,0.335027
69507,4371211,15135.378,True,48307596,0.088649474,2045.7601,12938.266,0.0,0.0,150.73384,0.6177447
76086,4371211,9340.539,True,31064692,2.0109608,1458.945,7816.823,0.0,0.0,64.49429,0.27677423
83280,4371211,13862.082,True,45210591,0.014603622,1978.3737,11741.349,0.0,0.0,141.8573,0.50211155
88663,4371211,14280.698,True,45833734,1.9828845,1958.9966,12181.229,0.0,0.0,139.96591,0.5072029
96500,4371211,12299.718,True,39656726,3.5237398,1722.4506,10458.259,0.0,0.0,118.564255,0.44368705
102683,4371211,9807.875,True,31841301,4.198295,1376.6298,8322.704,0.0,0.0,108.145004,0.39590716
108012,4371211,8009.89,True,25582175,2.0866814,1141.9602,6827.4927,0.0,0.0,40.300053,0.13712123
114388,4371211,3137.8948,True,9308916,17.875862,297.8843,2787.4575,0.0,0.0,52.411625,0.1411738
118679,4371211,8223.894,True,26582761,1.091507,1151.3896,6991.961,0.0,0.0,80.26558,0.2774343
121863,4371211,7586.7124,True,24707805,1.0312054,1096.8284,6424.7734,0.0,0.0,64.87529,0.23543683
125027,4371211,3992.1995,True,12699509,6.3868275,496.8319,3437.1768,0.0,0.0,57.98529,0.20547332
128393,4371211,6817.582,True,22002000,0.22364043,906.8305,5821.2197,0.0,0.0,89.22589,0.30600366
131047,4371211,6581.417,True,20604743,0.80919886,849.9314,5676.694,0.0,0.0,54.58772,0.20382178
134847,4371211,6414.8735,True,20212475,2.387178,841.8544,5518.4033,0.0,0.0,54.4398,0.17648649
137885,4371211,6345.593,True,20325176,1.4048997,862.8575,5425.0854,0.0,0.0,57.444946,0.20527808
140721,4371211,5262.298,True,16823700,0.5164317,713.22784,4497.837,0.0,0.0,51.004883,0.22854353
143884,4371211,5675.871,True,18493060,2.5740514,731.16437,4839.632,0.0,0.0,104.72782,0.34712026
146176,4371211,2559.61,True,7913016,3.5073578,266.6042,2242.4102,0.0,0.0,50.43733,0.1585718
149169,4371211,5171.0864,True,16256449,24.438118,656.4206,4463.0312,0.0,0.0,51.457054,0.17722805
152031,4371211,4540.869,True,14528924,0.7692128,597.0604,3891.0222,0.0,0.0,52.592773,0.19366086
154493,4371211,5185.515,True,16330672,0.12671354,651.3444,4475.023,0.0,0.0,58.89504,0.2522909
156809,4371211,5138.4126,True,16311753,1.320802,658.6918,4417.9785,0.0,0.0,61.46666,0.2754884
158847,4371211,4958.904,True,15384462,7.7085786,620.323,4298.889,0.0,0.0,39.513065,0.17863546
161162,4371211,4438.6206,True,14096853,10.233296,566.5526,3820.048,0.0,0.0,51.83404,0.18584663
163675,4371211,4782.564,True,15287149,0.40206027,629.8711,4097.3955,0.0,0.0,54.980812,0.31646773
165727,4371211,3550.2903,True,11213777,6.721049,441.41537,3062.9854,0.0,0.0,45.729427,0.15996192
168390,4371211,4555.368,True,14318289,0.35557047,549.7923,3938.8813,0.0,0.0,66.454025,0.24053207
170540,4371211,4045.8481,True,13002846,0.37350392,531.3799,3462.3113,0.0,0.0,51.963417,0.19344212
172649,4371211,2275.1829,True,6753965,0.21946049,232.79785,2014.5028,0.0,0.0,27.748638,0.13365267
175238,4371211,3579.865,True,11206551,9.676073,452.5176,3091.568,0.0,0.0,35.643017,0.13624337
177719,4371211,4404.961,True,13633133,0.16275163,461.87927,3854.0273,0.0,0.0,88.79956,0.2549819
179886,4371211,3930.442,True,12402112,28.416569,503.20816,3387.382,0.0,0.0,39.705154,0.14643323
181983,4371211,3405.4343,True,10720705,2.1570573,452.62576,2929.0618,0.0,0.0,23.677244,0.069514506
184828,4371211,4333.9136,True,13381545,1.3991762,507.1167,3775.3052,0.0,0.0,51.226273,0.26520136
186927,4371211,4132.049,True,12706134,10.494498,468.26642,3609.7358,0.0,0.0,53.86421,0.1822939
188859,4371211,3383.7944,True,11000572,35.491825,433.45898,2887.525,0.0,0.0,62.64959,0.16103844
191079,4371211,3453.7478,True,10996320,0.79259694,443.90985,2965.8323,0.0,0.0,43.86237,0.14329845
192898,4371211,2837.315,True,8594655,1.3346106,335.01926,2482.5244,0.0,0.0,19.69143,0.07968899
194946,4371211,1640.8555,True,4876685,6.063454,163.60332,1453.923,0.0,0.0,23.264479,0.06475234
197108,4371211,2748.1868,True,8503962,0.16159277,337.51837,2386.1726,0.0,0.0,24.385326,0.11031736
199321,4371211,3724.7537,True,11961317,0.008834809,479.77484,3190.9,0.0,0.0,53.815613,0.2633368
200803,4371211,3211.3413,True,10055754,3.7382064,411.51938,2772.7747,0.0,0.0,26.913626,0.13355719
202634,4371211,3461.9207,True,10583157,0.08463036,405.13626,3023.209,0.0,0.0,33.442875,0.13256773
204234,4371211,3480.0688,True,10660924,1.7091057,410.30032,3035.5945,0.0,0.0,34.00935,0.1646288
206226,4371211,3552.6208,True,11396258,0.060174186,424.43292,3060.4678,0.0,0.0,67.49972,0.22060427
207473,4371211,3331.5308,True,10779399,5.483074,449.77448,2838.7107,0.0,0.0,42.848026,0.19755116
208781,4371211,1396.8787,True,3923020,5.288108,94.057846,1272.6974,0.0,0.0,30.019836,0.103620626
210763,4371211,1146.3329,True,3328139,0.08509709,111.84733,1022.71765,0.0,0.0,11.742237,0.025682334
212836,4371211,3160.7734,True,9540775,3.5830693,329.30252,2785.7087,0.0,0.0,45.618034,0.14397705
214452,4371211,2952.3284,True,9043238,5.012979,336.2078,2580.7175,0.0,0.0,35.26263,0.14030433
216016,4371211,2766.4285,True,8742186,1.1570659,351.67014,2383.434,0.0,0.0,31.188374,0.1359497
217485,4371211,2784.9265,True,8271885,3.7293537,294.08844,2461.7742,0.0,0.0,28.991873,0.07190356
219032,4371211,2811.1716,True,8744740,1.1140499,325.66675,2445.5823,0.0,0.0,39.7374,0.18526664
220557,4371211,1766.9647,True,5238849,6.979608,187.75189,1562.2074,0.0,0.0,16.961252,0.044134155
222267,4371211,2240.0105,True,7077818,18.963142,277.82745,1932.9268,0.0,0.0,29.16338,0.09295137
223896,4371211,2498.3918,True,7529716,4.443207,274.40314,2196.9978,0.0,0.0,26.87912,0.11171799
225155,4371211,2128.2324,True,6312968,0.44855917,174.39351,1903.1536,0.0,0.0,50.485172,0.20027849
226194,4371211,2547.7068,True,7710019,6.912942,250.33725,2249.844,0.0,0.0,47.362434,0.16298302
