,Unnamed: 0,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
0,17185,4371211,27463.623,True,84913532,2.6530172999999997,3573.1897,23735.058999999997,0.0,0.0,154.8157,0.5583479,0.0017136616635134551
1,31342,4371211,23211.327999999998,True,74949167,2.4725167999999997,3312.5986,19705.928,0.0,0.0,191.96112,0.8390293,0.0012880299927401965
3,52618,4371211,15493.247,True,50542211,6.059371,2347.1946,13064.353000000001,0.0,0.0,81.445526,0.2538997,0.007439783739624936
4,60731,4371211,14359.948999999999,True,45741271,1.7635023999999997,2021.6665,12247.116000000002,0.0,0.0,90.83128,0.335027,0.0019415144210232417
5,69507,4371211,15135.378,True,48307596,0.088649474,2045.7601,12938.266000000001,0.0,0.0,150.73384,0.6177446999999999,5.881192570958188e-05
6,76086,4371211,9340.539,True,31064692,2.0109608,1458.945,7816.823,0.0,0.0,64.49429,0.27677423,0.0031180447137258193
7,83280,4371211,13862.082,True,45210591,0.014603622,1978.3737,11741.348999999998,0.0,0.0,141.8573,0.50211155,1.029458617920967e-05
8,88663,4371211,14280.698,True,45833734,1.9828845000000002,1958.9966,12181.229,0.0,0.0,139.96591,0.5072029,0.0014166910356957635
9,96500,4371211,12299.718,True,39656726,3.5237398,1722.4506,10458.259,0.0,0.0,118.564255,0.44368705,0.002972008553505439
10,102683,4371211,9807.875,True,31841301,4.198295,1376.6298,8322.704,0.0,0.0,108.145004,0.39590716,0.003882097965431672
11,108012,4371211,8009.89,True,25582175,2.0866814,1141.9602,6827.4927,0.0,0.0,40.300053000000005,0.13712123,0.0051778626693121214
13,118679,4371211,8223.894,True,26582761,1.091507,1151.3896,6991.960999999999,0.0,0.0,80.26558,0.27743429999999997,0.0013598693238122744
14,121863,4371211,7586.7124,True,24707805,1.0312054,1096.8284,6424.7734,0.0,0.0,64.87529,0.23543683,0.0015895195227643684
15,125027,4371211,3992.1995,True,12699509,6.3868275,496.8319,3437.1768,0.0,0.0,57.98529,0.20547332,0.011014565073314284
16,128393,4371211,6817.581999999999,True,22002000,0.22364043,906.8305,5821.2197,0.0,0.0,89.22589,0.30600366,0.00025064522191933303
17,131047,4371211,6581.4169999999995,True,20604743,0.80919886,849.9314,5676.694,0.0,0.0,54.58772,0.20382178,0.001482382594473629
18,134847,4371211,6414.8735,True,20212475,2.387178,841.8544,5518.4033,0.0,0.0,54.4398,0.17648649,0.004384986719275236
19,137885,4371211,6345.593000000001,True,20325176,1.4048996999999999,862.8575,5425.0854,0.0,0.0,57.444945999999995,0.20527808,0.0024456454358926546
20,140721,4371211,5262.298000000001,True,16823700,0.5164317,713.22784,4497.837,0.0,0.0,51.004883,0.22854353,0.0010125142331960648
21,143884,4371211,5675.871,True,18493060,2.5740514,731.16437,4839.6320000000005,0.0,0.0,104.72782,0.34712026,0.002457848735894627
22,146176,4371211,2559.61,True,7913016,3.5073578000000003,266.6042,2242.4102,0.0,0.0,50.437329999999996,0.15857179999999998,0.0069538926822653
24,152031,4371211,4540.869000000001,True,14528924,0.7692128,597.0604,3891.0222,0.0,0.0,52.592773,0.19366086,0.001462582701239199
25,154493,4371211,5185.515,True,16330672,0.12671354,651.3444,4475.023,0.0,0.0,58.89504,0.2522909,0.00021515146266986153
26,156809,4371211,5138.4126,True,16311753,1.320802,658.6918,4417.9785,0.0,0.0,61.46666,0.2754884,0.002148810428287465
29,163675,4371211,4782.564,True,15287149,0.40206027,629.8711,4097.3955,0.0,0.0,54.980812,0.31646773,0.000731273794210242
31,168390,4371211,4555.3679999999995,True,14318289,0.35557047,549.7923,3938.8813,0.0,0.0,66.454025,0.24053207,0.0005350623532585123
32,170540,4371211,4045.8481,True,13002846,0.37350392,531.3799,3462.3113,0.0,0.0,51.963417,0.19344212,0.0007187824465046247
33,172649,4371211,2275.1829,True,6753965,0.21946049,232.79785,2014.5028,0.0,0.0,27.748638,0.13365267,0.0007908874302227014
35,177719,4371211,4404.960999999999,True,13633133,0.16275163,461.87927,3854.0273,0.0,0.0,88.79956,0.2549819,0.00018327977075562087
37,181983,4371211,3405.4343,True,10720705,2.1570572999999995,452.62575999999996,2929.0618,0.0,0.0,23.677244,0.06951450599999999,0.009110254977310701
38,184828,4371211,4333.9136,True,13381545,1.3991761999999999,507.1167,3775.3052,0.0,0.0,51.226273,0.26520136,0.0027313644309044306
41,191079,4371211,3453.7478,True,10996320,0.79259694,443.90985,2965.8323,0.0,0.0,43.86237,0.14329845,0.0018070089235944161
42,192898,4371211,2837.315,True,8594655,1.3346106000000002,335.01926000000003,2482.5244,0.0,0.0,19.69143,0.07968899,0.006777621533834772
44,197108,4371211,2748.1868,True,8503962,0.16159277,337.51837,2386.1726,0.0,0.0,24.385326,0.11031736,0.0006626639725874488
45,199321,4371211,3724.7537,True,11961317,0.008834809,479.77484000000004,3190.9,0.0,0.0,53.815613,0.2633368,1.641681383430493e-05
47,202634,4371211,3461.9207,True,10583157,0.08463036,405.13626,3023.2090000000003,0.0,0.0,33.442875,0.13256773,0.0002530594633386035
48,204234,4371211,3480.0688,True,10660924,1.7091057,410.30032,3035.5945,0.0,0.0,34.00935,0.1646288,0.00502539948572966
49,206226,4371211,3552.6208,True,11396258,0.060174186,424.43292,3060.4678,0.0,0.0,67.49972,0.22060427,8.91473120184795e-05
52,210763,4371211,1146.3329,True,3328139,0.08509709,111.84733,1022.71765,0.0,0.0,11.742237,0.025682333999999998,0.0007247093547847826
53,212836,4371211,3160.7734,True,9540775,3.5830693,329.30252,2785.7087,0.0,0.0,45.618034,0.14397705,0.0078545017963729
55,216016,4371211,2766.4285,True,8742186,1.1570658999999999,351.67014,2383.4339999999997,0.0,0.0,31.188374,0.1359497,0.003709926974711795
57,219032,4371211,2811.1716,True,8744740,1.1140499,325.66675,2445.5823,0.0,0.0,39.7374,0.18526664,0.0028035299239507366
61,225155,4371211,2128.2324,True,6312968,0.44855917,174.39351000000002,1903.1536,0.0,0.0,50.485172,0.20027849,0.0008884968639900841
63,227574,4371211,2582.1953,True,7976988,2.3947708999999997,264.4534,2263.0137,0.0,0.0,54.531128,0.19702175,0.004391566776319022
64,228680,4371211,1407.6743,True,4158980,0.82791346,122.04202,1256.6589999999999,0.0,0.0,28.889532,0.0837551,0.00286579048771022
66,231706,4371211,1791.5015,True,5259519,0.08137321,175.68524,1594.1188,0.0,0.0,21.626707,0.07079942,0.00037626259975686547
67,233214,4371211,2034.5785,True,6338481,0.81653136,246.21122999999997,1765.4645,0.0,0.0,22.830498000000002,0.07238766599999999,0.0035764938636029756
68,234514,4371211,2220.2568,True,6855636,0.09446304,238.61855,1942.3497,0.0,0.0,39.12624,0.16244057,0.00024143142811576068
70,236756,4371211,1998.4573,True,5848397,0.18933712,191.79587,1780.9951,0.0,0.0,25.575323,0.090916045,0.0007403117450364166
72,239245,4371211,2174.5654,True,6722337,0.71289515,230.10072000000002,1904.4838,0.0,0.0,39.858259999999994,0.12279874,0.0017885756929680325
73,239993,4371211,1799.5925,True,5425394,0.34454328,197.44516000000002,1581.6897,0.0,0.0,20.364782,0.0929127,0.001691858425000572
74,241153,4371211,1818.3270000000002,True,5462437,0.86816937,197.55498,1600.4343,0.0,0.0,20.249133999999998,0.088567995,0.004287439502351064
75,242214,4371211,1797.3102,True,5485282,0.02353746,176.5487,1583.8622,0.0,0.0,36.771374,0.12793548,6.40102814760199e-05
78,245134,4371211,1500.4989,True,4561185,0.14357933,159.6923,1318.9382,0.0,0.0,21.776976,0.09138958,0.0006593171154709452
79,246232,4371211,1223.6865,True,3546223,0.0,101.36493,1099.6766,0.0,0.0,22.546722,0.098192446,0.0
80,247348,4371211,1875.5028,True,5635060,0.14711191,180.04912,1661.0476,0.0,0.0,34.260857,0.14512916,0.0004293877120470162
82,249164,4371211,597.4291,True,1650430,0.16962992,35.469696,548.54865,0.0,0.0,13.364207,0.046556982999999996,0.001269285338067571
83,250390,4371211,1536.5428,True,4505909,0.0021334493,140.06165,1371.2666,0.0,0.0,25.114222,0.10036167,8.494984634602656e-06
91,257302,4371211,1569.9425,True,4590054,0.03717915,140.13069,1403.5864,0.0,0.0,26.129442,0.09591231,0.0001422883427820617
92,258263,4371211,1323.8746,True,3720767,0.012743825,107.79786999999999,1198.7698,0.0,0.0,17.244358,0.06265076,7.390141749550782e-05
93,259114,4371211,1468.5094,True,4040675,0.16621977,121.64719,1335.4098,0.0,0.0,11.388252,0.06414422,0.0014595722855447878
94,260014,4371211,1517.6622,True,4382876,0.45517635,126.8108,1364.7877,0.0,0.0,25.981735,0.081980765,0.0017519089852929375
95,260862,4371211,870.2548,True,2384849,0.65648425,63.20254499999999,795.6147,0.0,0.0,11.401666,0.035894074,0.005757792326139005
96,261959,4371211,1522.3026,True,4444342,0.6765091,132.94603,1363.9489999999998,0.0,0.0,25.323923,0.08367115,0.0026714229860831593
98,263557,4371211,700.1238,True,1900675,0.10219201,54.622386999999996,639.7345,0.0,0.0,5.734446,0.032463837,0.0017820729325901752
99,264412,4371211,1029.735,True,2942882,1.7032952000000001,84.13843,928.607,0.0,0.0,16.9458,0.043684952,0.010051429852824891
100,265267,4371211,1412.9014,True,4206078,3.5302608,120.36487,1259.5094,0.0,0.0,32.92329,0.10378636,0.010722685369536277
101,265926,4371211,1418.5002,True,4149672,0.0009383438000000001,131.79599,1267.0,0.0,0.0,19.626787,0.07742088,4.780934342437202e-06
103,267323,4371211,1495.5933,True,4348729,2.4558694,110.79388,1348.2888,0.0,0.0,36.407146000000004,0.10344591,0.0067455696747006745
104,268295,4371211,1479.0997,True,4396657,1.5557508,130.90038,1317.4402,0.0,0.0,30.624653000000002,0.13457261,0.005080060172436892
106,269440,4371211,1453.7825,True,4285674,0.06749183,132.83319,1296.7228,0.0,0.0,24.125429999999998,0.10115514,0.00027975389454198334
107,270079,4371211,1348.6628,True,3792341,0.0034404171000000003,107.55731999999999,1222.3351,0.0,0.0,18.683039,0.08738848,1.841465459661033e-05
108,270963,4371211,779.6151,True,2261259,0.897632,61.31443,701.5571,0.0,0.0,16.702328,0.041241862000000004,0.005374292733324361
109,271729,4371211,1315.8488,True,3918149,0.345641,110.74458,1174.7206,0.0,0.0,30.305132,0.07847214,0.0011405361969715228
110,272322,4371211,1251.9922,True,3794312,1.1967771999999999,142.59956,1097.7646,0.0,0.0,11.557259,0.07078018,0.010355199273460947
