,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloVelDisp,SubhaloHalfmassRad,SubhaloMassInHalfRad,SubhaloVmax,SubhaloStellarPhotometrics,SubhaloBHMass,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhaloMassInHalfRadGas,SubhaloMassInHalfRadDM,SubhaloMassInHalfRadNone,SubhaloMassInHalfRadTracers,SubhaloMassInHalfRadStellar,SubhaloMassInHalfRadBH,SubhalosSFR,SubhaloGasFraction
52618,4371211,154932470703125.0,True,50542211,6.059371,[ 93.14602 305.90457 152.78827],498.99756,516.16425,2531865692138.672,809.6793,"[-23.285152 -23.530857 -24.299992 -27.071474 -23.946547 -24.613422
 -24.93681  -25.163965]",2538543045.5207825,23471945800781.25,130643525390625.0,0.0,0.0,814455261230.4688,2538996934.890747,38463029861.450195,2083638458251.9531,0.0,0.0,407227020263.6719,0.2537185,0.007439783721715359,0.09445107506998456
60731,4371211,143599492187500.0,True,45741271,1.7635024,[ 21.870102  21.780874 -40.56558 ],490.09857,434.9593,2497121887207.0312,843.69006,"[-22.993547 -23.346815 -24.189436 -27.070429 -23.791664 -24.525038
 -24.876724 -25.123608]",3342226445.6748962,20216665039062.5,122471162109375.0,0.0,0.0,908312835693.3594,3350270092.487335,24045217037.200928,2015573120117.1875,0.0,0.0,454155654907.22656,0.33479676,0.0019415143000198732,0.0529448808517265
69507,4371211,151353779296875.0,True,48307596,0.088649474,[ 30.629827 -96.97477  -68.274315],496.9213,408.58594,2910208435058.5938,892.6736,"[-23.404654 -23.834738 -24.711063 -27.663326 -24.293877 -25.055058
 -25.416649 -25.675817]",6174855232.23877,20457601318359.375,129382656250000.0,0.0,0.0,1507338409423.8281,6177446842.1936035,37571842670.440674,2112794952392.5781,0.0,0.0,753668594360.3516,0.6173097,5.881192539786939e-05,0.04985194149204053
76086,4371211,93405390625000.0,True,31064692,2.0109608,[-220.56462   -91.032135   24.597898],357.4091,513.73615,1460029907226.5625,673.07684,"[-22.599854 -22.950874 -23.793444 -26.676216 -23.395573 -24.129477
 -24.482128 -24.729818]",2766173779.964447,14589449462890.625,78168232421875.0,0.0,0.0,644942932128.9062,2767742276.1917114,17807010412.216187,1116985549926.7578,0.0,0.0,322470893859.8633,0.27664903,0.0031180445852767337,0.05522051990203683
83280,4371211,138620820312500.0,True,45210591,0.014603622,[-149.86743  322.27896  168.55688],491.43765,394.65225,3153416137695.3125,869.3967,"[-23.30735  -23.734655 -24.611244 -27.552322 -24.193855 -24.95555
 -25.317474 -25.575377]",5015804171.562195,19783736572265.625,117413486328125.0,0.0,0.0,1418572998046.875,5021115541.45813,51662302017.211914,2387448272705.078,0.0,0.0,709286270141.6016,0.50192726,1.029458637505163e-05,0.07283702531968944
88663,4371211,142806982421875.0,True,45833734,1.9828845,[ 80.34236  98.77648 122.61651],526.121,413.72147,2733740844726.5625,861.9091,"[-23.460287 -23.860626 -24.720903 -27.6471   -24.313448 -25.059925
 -25.41578  -25.670706]",5067343711.853027,19589965820312.5,121812285156250.0,0.0,0.0,1399659118652.3438,5072029232.978821,32213644981.384277,1996634216308.5938,0.0,0.0,699829406738.2812,0.5063509,0.0014166910355729752,0.0460307107292383
96500,4371211,122997177734375.0,True,39656726,3.5237398,[58.714058 98.92138  87.24292 ],477.03308,389.12833,3237824401855.4688,829.2362,"[-23.328861 -23.681585 -24.513569 -27.408926 -24.122358 -24.845863
 -25.193968 -25.443588]",4434306323.52829,17224505615234.375,104582587890625.0,0.0,0.0,1185642547607.4219,4436870515.346527,40150027275.08545,2600426330566.4062,0.0,0.0,592820549011.2305,0.44274533,0.0029720085719503434,0.06772711799894919
102683,4371211,98078750000000.0,True,31841301,4.198295,[-179.68597  -108.71015   -15.193923],441.47632,354.43356,1863676300048.8281,779.912,"[-23.199806 -23.554724 -24.397964 -27.32618  -23.999578 -24.734224
 -25.088942 -25.344845]",3953103721.141815,13766297607421.875,83227041015625.0,0.0,0.0,1081450042724.6094,3959071636.199951,10405075550.079346,1308593139648.4375,0.0,0.0,540724258422.85156,0.39538768,0.003882098063307076,0.019242849544845973
108012,4371211,80098901367187.5,True,25582175,2.0866814,[  31.31512    90.68422  -106.206894],405.73633,527.8937,831478195190.4297,571.29095,"[-22.375093 -22.683935 -23.483948 -26.305637 -23.11227  -23.805676
 -24.138882 -24.374504]",1370257139.2059326,11419602050781.25,68274926757812.5,0.0,0.0,403000526428.22266,1371212303.6384583,7021126747.131348,621588439941.4062,0.0,0.0,201500015258.78906,0.13686572,0.005177862630753784,0.03484429883597787
114388,4371211,31378947753906.25,True,9308916,17.875862,[-478.20273  -426.55453   -81.806854],297.0776,265.73065,745797424316.4062,511.4591,"[-23.170788 -23.280348 -23.97696  -26.77701  -23.66544  -24.273077
 -24.584576 -24.818085]",1411737948.6560822,2978843078613.2812,27874575195312.5,0.0,0.0,524116249084.47266,1411737948.6560822,14105149507.522583,468222465515.1367,0.0,0.0,262058048248.29102,0.1411738,0.03410667414492038,0.05382452323753262
