,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
41582,4371211,13758.299,True,44685055,99.81936,[155.11632   69.847466 184.22562 ],2035.624,11625.857,0.0,0.0,96.50457,0.31319907,0.1034348487854004
149169,4371211,5171.0864,True,16256449,24.438118,[ 132.88551  -51.6104  -139.22714],656.4206,4463.0312,0.0,0.0,51.457054,0.17722805,0.04749225974082947
179886,4371211,3930.442,True,12402112,28.416569,[-398.63712    19.967905 -263.8616  ],503.20816,3387.382,0.0,0.0,39.705154,0.14643323,0.07156896591186523
188859,4371211,3383.7944,True,11000572,35.491825,[-807.57904 -236.50764 -187.95346],433.45898,2887.525,0.0,0.0,62.64959,0.16103844,0.056651329994201666
220557,4371211,1766.9647,True,5238849,6.979608,[ -26.40815  131.45012 -287.13892],187.75189,1562.2074,0.0,0.0,16.961252,0.044134155,0.04115031063556671
222267,4371211,2240.0105,True,7077818,18.963142,[  89.6585  -385.8843   192.42729],277.82745,1932.9268,0.0,0.0,29.16338,0.09295137,0.06502381563186646
237941,4371211,1617.9216,True,4844369,9.287155,[-207.86464  -241.24382   -21.764116],174.61218,1425.989,0.0,0.0,17.246733,0.07372253,0.053848779201507574
243186,4371211,1095.3099,True,3229496,5.2858143,[267.08377 104.10697 370.26825],108.067665,973.15466,0.0,0.0,14.026413,0.061120532,0.037684717774391176
244318,4371211,1827.7969,True,5789922,21.824753,[  66.6976  -106.38509  -27.47213],224.09451,1577.6223,0.0,0.0,25.95454,0.12550023,0.08408837914466859
252995,4371211,1082.4343,True,3246307,5.351331,[-264.74493  161.61687  253.98546],120.89548,952.4317,0.0,0.0,9.0702305,0.036876973,0.058998847007751466
254112,4371211,1413.6484,True,4225789,8.30824,[469.1715   99.92887 219.42258],139.67021,1251.7874,0.0,0.0,22.080683,0.110234916,0.03762673437595368
256507,4371211,1528.0741,True,4555199,13.904174,[-196.38231  -111.46953   -61.863316],134.4268,1360.1415,0.0,0.0,33.420795,0.08497415,0.04160335958003998
284316,4371211,1175.1288,True,3429579,7.5085506,[-321.2785    35.73425 -190.49936],111.40086,1048.4089,0.0,0.0,15.257764,0.061279073,0.04921134412288666
288014,4371211,623.279,True,1622607,2.4584599,[-69.694336 186.99231   92.93194 ],38.55265,577.90027,0.0,0.0,6.81087,0.015224046,0.03609611988067627
291888,4371211,1115.5344,True,3164175,8.503228,[  2.5063844  84.71306   -66.93437  ],82.100105,1011.9939,0.0,0.0,21.349733,0.09073324,0.039828264713287355
294047,4371211,902.87054,True,2571388,6.563159,[-131.05289   -62.420914 -147.74086 ],72.672745,815.02167,0.0,0.0,15.126435,0.049707886,0.04338867068290711
294510,4371211,921.5055,True,2670056,8.76082,[-189.1452    82.70674  299.91965],78.9013,826.7808,0.0,0.0,15.773778,0.049624033,0.055540406703948976
297210,4371211,1003.43634,True,2925235,6.1071362,[-228.26154  -100.32377    55.687256],89.941055,897.69165,0.0,0.0,15.730012,0.07360115,0.03882474005222321
298892,4371211,953.35864,True,2837160,11.647943,[  -7.7230477 -198.908      205.73378  ],95.0344,844.65845,0.0,0.0,13.603284,0.062513165,0.085625958442688
306058,4371211,857.2995,True,2439006,9.034575,[ -1.5342387 130.3379     29.937544 ],55.518894,780.408,0.0,0.0,21.33282,0.039789002,0.042350590229034424
317711,4371211,879.77625,True,2264915,5.6773243,[ 30.968554 226.83423   26.647306],42.553345,823.25446,0.0,0.0,13.933477,0.034967534,0.04074592590332032
318210,4371211,541.49927,True,1526260,6.445079,[ 56.577526   -1.4570825 271.72025  ],35.60223,493.16953,0.0,0.0,12.68913,0.0383809,0.05079212784767151
325808,4371211,634.4363,True,1765811,3.718632,[-193.65573   79.21545  -79.35705],46.232315,578.0615,0.0,0.0,10.114641,0.027800653,0.036764842271804814
326217,4371211,357.1438,True,1048025,3.8818278,[-387.2698  -152.56471   71.86946],31.03769,318.5017,0.0,0.0,7.5770345,0.027384834,0.05123149156570435
327822,4371211,304.52588,True,957233,5.7354865,[  33.893414 -177.78777   271.80685 ],29.223965,266.36282,0.0,0.0,8.924066,0.015022993,0.06426988244056701
333672,4371211,479.59637,True,1336526,3.945649,[-281.8842    -42.20811    11.947542],32.7732,437.60034,0.0,0.0,9.207024,0.015822528,0.04285477101802826
344300,4371211,542.00995,True,1474209,4.920513,[-43.041847  60.75637  -76.80572 ],30.211931,499.87393,0.0,0.0,11.894347,0.02973535,0.04136850237846375
344593,4371211,586.9998,True,1528713,2.8796272,[205.04713  89.9237  337.15775],33.242332,546.2002,0.0,0.0,7.5264845,0.03075853,0.038259923458099365
345812,4371211,504.58652,True,1348862,8.616432,[ -64.68595 -164.80452 -163.06418],29.644846,465.85587,0.0,0.0,9.062656,0.023131832,0.09507623314857483
347785,4371211,341.9836,True,1047031,4.560894,[ 356.54135  -46.50912 -464.97717],29.28568,302.50583,0.0,0.0,10.167055,0.025049236,0.04485953748226166
356176,4371211,427.69055,True,1307534,5.191775,[-372.51242  184.26965 -256.4977 ],34.895954,379.1969,0.0,0.0,13.564121,0.03358511,0.03827579319477081
361752,4371211,320.08185,True,867745,2.427077,[-196.99529   -79.11604   -14.233649],21.765928,293.51773,0.0,0.0,4.7785296,0.019650843,0.05079129338264465
366338,4371211,323.0076,True,1004852,3.1330376,[243.86456  -50.541782  24.026396],38.22841,279.95874,0.0,0.0,4.807468,0.012998072,0.06517022252082826
366792,4371211,428.97617,True,1167434,2.7007625,[-33.08351  -97.37764  -10.817314],28.279308,393.52994,0.0,0.0,7.140373,0.026561003,0.03782382905483246
368170,4371211,394.34027,True,1180418,5.714689,[  48.855675 -162.45615   106.659996],36.77501,349.6476,0.0,0.0,7.9020834,0.015567524,0.07231876254081726
369366,4371211,131.64056,True,369632,2.4265285,[ -6.831012 -12.172606 -83.33433 ],5.2325425,121.13763,0.0,0.0,5.263481,0.006922514,0.046101209521293644
370190,4371211,352.03912,True,1061593,3.1542165,[-85.35681   11.402126 -91.469025],34.908623,310.274,0.0,0.0,6.828448,0.028086195,0.04619229137897492
374789,4371211,265.87738,True,761480,3.8341918,[-14.6600065 155.48079   184.33188  ],19.713623,240.03252,0.0,0.0,6.1094685,0.021763613,0.06275818943977356
381392,4371211,303.9812,True,893531,4.8623667,[-76.50872 213.88092 262.0914 ],19.118534,274.3671,0.0,0.0,10.473623,0.021972423,0.04642487764358521
382921,4371211,278.18384,True,808071,5.3414707,[-295.49585    89.990906 -405.3165  ],23.519833,248.95743,0.0,0.0,5.685875,0.020706544,0.09394280910491944
383118,4371211,86.97763,True,260736,4.702347,[-190.74722     -3.7872238   96.21959  ],8.156941,76.83212,0.0,0.0,1.9800856,0.008475738,0.23748199939727785
386429,4371211,274.2078,True,769045,6.7650137,[-135.25778  228.0225   141.27834],17.51288,249.76735,0.0,0.0,6.9161344,0.0114323795,0.09781495332717896
389345,4371211,200.41573,True,568326,1.5197592,[-70.01726 -49.63652 129.06747],15.033817,181.39702,0.0,0.0,3.9694552,0.015428888,0.03828634023666382
389511,4371211,195.62408,True,526683,4.0258613,[ 134.75435  -51.66729 -334.00006],11.584196,180.1695,0.0,0.0,3.8584535,0.011945754,0.10433872938156129
390305,4371211,300.42294,True,934658,3.8310118,[  9.452116 149.08154  -13.224471],26.170147,263.96185,0.0,0.0,10.26007,0.030878223,0.0373390406370163
390724,4371211,237.45735,True,681760,4.4985166,[-171.48846  -105.796814  -43.10641 ],15.341956,214.73055,0.0,0.0,7.371847,0.013004834,0.061022919416427616
