,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
0,4371211,27477.936,True,88772413,3900.5981,23325.62,0.0,0.0,251.01631,0.70181096
1,4371211,3666.6228,True,11346853,444.55853,3184.0862,0.0,0.0,37.85255,0.12556633
2,4371211,773.4555,True,2202646,12.611633,718.18396,0.0,0.0,42.482437,0.17748705
3,4371211,339.1331,True,959548,16.9682,310.50958,0.0,0.0,11.620896,0.034418035
4,4371211,325.3667,True,836490,9.439245,306.84265,0.0,0.0,9.032478,0.05234062
5,4371211,298.01813,True,784958,2.0604022,282.885,0.0,0.0,13.016254,0.056477606
6,4371211,206.83061,True,692119,1.7444044,185.41129,0.0,0.0,19.602089,0.072833285
7,4371211,137.82588,True,453018,0.017070927,124.71304,0.0,0.0,13.0534,0.04237262
8,4371211,118.54483,True,448664,0.0129045,103.344444,0.0,0.0,15.115527,0.07195748
9,4371211,129.09142,True,444551,0.0,115.43677,0.0,0.0,13.623578,0.031073857
10,4371211,103.53132,True,440990,1.777262,85.68675,0.0,0.0,16.039114,0.028187128
11,4371211,46.312202,True,339872,0.0,28.561409,0.0,0.0,17.62525,0.12554438
12,4371211,116.11779,True,308510,0.0,110.41995,0.0,0.0,5.672196,0.025639314
13,4371211,103.66661,True,296450,0.0,97.05308,0.0,0.0,6.575802,0.037735812
14,4371211,64.92686,True,287005,0.0,53.469536,0.0,0.0,11.409267,0.048049632
15,4371211,102.726105,True,273995,0.6605913,97.20323,0.0,0.0,4.846017,0.016266521
16,4371211,90.172356,True,272610,0.007377057,83.33179,0.0,0.0,6.8131,0.020088622
17,4371211,73.79442,True,223289,0.41275164,68.01946,0.0,0.0,5.3288474,0.033358525
18,4371211,65.69016,True,211453,0.15409042,59.689617,0.0,0.0,5.8354487,0.011002859
19,4371211,37.701176,True,200474,0.0,28.671118,0.0,0.0,9.007603,0.022454713
20,4371211,64.2667,True,184140,2.6046624,58.75026,0.0,0.0,2.9005923,0.011188722
21,4371211,28.112135,True,159671,0.0,20.65726,0.0,0.0,7.435409,0.019465838
22,4371211,57.27414,True,157728,0.0009477161,53.996346,0.0,0.0,3.2577178,0.019127265
23,4371211,20.250196,True,140998,0.0,12.949274,0.0,0.0,7.269873,0.031048262
24,4371211,40.53191,True,133045,3.9068375,34.65004,0.0,0.0,1.966905,0.008128543
